
day,trips,subscriber_type
2016-07-10,150,Customer
2016-07-11,72,Customer
2016-07-12,92,Customer
2016-07-13,95,Customer
2016-07-14,94,Customer
2016-07-15,80,Customer
2016-07-16,111,Customer
2016-07-17,100,Customer
2016-07-18,54,Customer
2016-07-19,70,Customer
2016-07-20,100,Customer
2016-07-21,81,Customer
2016-07-22,114,Customer
2016-07-23,137,Customer
2016-07-24,104,Customer
2016-07-25,58,Customer
2016-07-26,60,Customer
2016-07-27,90,Customer
2016-07-28,107,Customer
2016-07-29,108,Customer
2016-07-30,188,Customer
2016-07-31,167,Customer
2016-08-01,69,Customer
2016-08-02,120,Customer
